reviews,context,product_type,purchase_method,sentiment,pros,cons,summary,start_time,end_time
"하필 딱 3월말에 LG 워시타워 받기로 되어있었는데(320만원 정도에 구매)와.. 이건 공간 활용성이나 10년간 사용한다고 가정했을때 그동안 세탁물 건조기로 옮기는 수고로움 까지 생각하면(초기 형태의 제품이라 하자의 공포도 있지만) 몇백을 더 써야하나 싶어질 정도네요..;;올해는 시그니처 모델만 나온다고 했다가 삼성 견제 탓인지 머지 않아 일반형 모델도 나오는걸로 변경 된거 같긴한데다들 어떻게 생각 하시나요~https://www.lg.co.kr/media/release/27355■ 세탁 후 알아서 건조 시작…젖은 세탁물 건조기로 옮기는 번거로움 없애    □ 가사 해방을 통한 삶의 가치 제고(Zero Labor Home, Makes Quality Time) 앞당겨    □ 외출 전 세탁 시작하고 귀가시간 맞춰 건조 끝나도록 예약 가능    □ 도어 살짝 터치하거나 음성으로 문 열 수 있는 등 다양한 편의기능 탑재    ■ 국내 최초 인버터 히트펌프 방식 올인원 세탁건조기    □ 세척 용량 25kg, 건조 용량 13kg…활용도 높은 4kg 용량 미니워시도 갖춰    ■ LG 프리미엄 세탁기·건조기 상징인 인공지능(AI) DD모터 탑재    □ 인공지능이 의류재질 따른 최적 모션 구현…세탁·건조 예상시간 빠르게 알려줘    ■ 超프리미엄 ‘LG 시그니처’ 핵심가치인 ‘기술의 미학’ 고스란히 담아    □ 미니멀리즘과 리얼 스테인리스 소재로 유행 타지 않는 타임리스 디자인 완성    ■ 22일부터 전국 99개 매장에 진열하고 판매 개시…출하가 690만원    □ 일반형 제품인 LG 트롬 오브제컬렉션 워시콤보도 4월 출시 예정    ■ LG전자 H&amp;A사업본부 리빙솔루션사업부장 백승태 부사장     “세탁과 건조를 한번에 끝내 잃어버렸던 공간과 시간을 돌려주는 혁신적인 제품”이라며 “고객의 가사 노동 해방을 위한 차별화된 기술을 선보일 것”            LG전자(대표이사 조주완)가 세탁부터 건조까지 한 번에 끝내는 ‘꿈의 가전’ LG 시그니처(LG SIGNATURE) 세탁건조기를 22일부터 판매한다.        신제품은 시작 버튼 하나로 세탁 후 세탁물을 꺼내지 않고 건조까지 마치는 국내 최초 히트펌프 방식 올인원 세탁건조기다. 세탁 및 건조 용량은 각각 25kg, 13kg이다. 제품 하단에는 섬세한 의류나 기능성 의류는 물론 속옷, 아이옷 등을 분리 세탁할 수 있어 활용도가 높은 4kg 용량의 미니워시가 탑재돼 있다.        LG전자는 지난해 9월 독일에서 열린 전시회에서 이 제품을 처음 공개했다. 세탁기와 건조기를 사용해 본 고객이라면 누구나 꿈꾸던, 세탁·건조 과정을 한 번에 해결하는 혁신적 솔루션으로 관람객들의 주목을 받은 바 있다.        LG 시그니처 세탁건조기는 세탁이 끝나면 알아서 건조를 시작한다. 건조기를 돌리기 위해 세탁이 끝나기를 기다리지 않아도 되고, 중간에 젖은 세탁물을 건조기로 옮길 필요도 없다. LG전자 프리미엄 가전이 지향하는 ‘가사 해방을 통한 삶의 가치 제고(Zero Labor Home, Makes Quality Time)’에 한걸음 더 다가서는 고객경험 혁신을 실현했다.        외출할 때도 매우 유용하다. 고객은 외출 전 세탁을 시작하고 집에 돌아와 보송하게 건조까지 마무리된 세탁물을 꺼내 정리하면 된다. LG 씽큐(ThinQ) 앱 또는 제품에서 귀가시간에 맞춰 건조가 끝나도록 예약 시간을 설정할 수 있다.        LG 시그니처 세탁건조기는 공간을 효율적으로 사용한다. 세탁기와 건조기를 상하 직렬 배치했을 때와 비교하면 상부 수납공간을 추가로 확보할 수 있다. 세탁실의 창문 활용도 자유롭다.        LG전자는 건조기를 필수가전 반열에 올리는 데 기여한 일등공신이자 기존 제품의 페인 포인트를 해결한 인버터 히트펌프 방식의 건조 기술을 신제품에 적용했다. 이를 위해 세탁건조기 전용 인버터 히트펌프 건조 모듈까지 새롭게 자체 개발했다.        인버터 히트펌프 방식의 건조는 냉매를 순환시켜 발생한 열을 활용해 빨래가 머금고 있는 수분만 빨아들이는 저온 제습 방식으로 옷감보호에 유리하다. 여기에 모터의 속도를 조절해 상황에 따라 필요한 만큼만 작동하는 인버터 기술까지 적용해 에너지 효율이 높다. 즉, 히터 방식의 건조 대비 전기 사용량이 줄고 건조 성능을 높이는 데 최적이다.        신제품에는 LG전자 세탁기와 건조기의 차별화된 핵심부품 기술력(Core Tech)을 상징하는 인공지능(AI) DD모터가 탑재됐다. 내부 드럼의 회전속도를 정교하게 조절해 LG 세탁가전만의 차별화된 6모션 세탁과 건조를 구현한다.        신제품의 딥러닝 AI 기술은 의류 재질에 따라 최적의 모션으로 맞춤 세탁·건조를 진행한다. 세탁물을 넣고 문을 닫으면 무게를 빠르게 감지해 3~6초 만에 세탁·건조 예상 시간을 알려준다. 국내 최초로 세탁기 온디바이스 AI칩(DQ-C)이 적용돼 탈수과정의 딥러닝 강화학습 기능이 업그레이드 됐다. 이 기능은 탈수 시 세탁물을 균일하게 분산시켜 진동과 소음을 줄인다.        LG전자는 超프리미엄 가전 ‘LG 시그니처’가 추구하는 핵심가치인 ‘기술의 미학’을 신제품에 고스란히 담았다. 미니멀리즘과 리얼 스테인리스 소재로 유행을 타지 않는 타임리스 디자인을 완성했다. 제품 전면의 7인치 와이드 LCD 화면은 세탁기, 건조기, 미니워시의 모든 기능을 통합 제어한다.        LG 시그니처 세탁건조기는 고객이 더 편리하게 이용할 수 있도록 다양하고스마트한 편의기능을 갖췄다. ‘스마트 터치도어’는 도어의 특정 부분을 살짝 터치하거나 음성을 이용해 문을 열 수 있는 기능이다. 고객은 양손 가득 세탁물을 들고 있을 때 “하이 엘지, 문 열어줘”라고 말하면 된다.        “하이 엘지, 5시간 뒤에 완료 해줘”, “하이 엘지, 세탁기 원스탑 세탁해줘”, “세탁 종료시간 알려줘” 등의 음성 명령도 가능하다. “하이 엘지, 오늘의 세탁결과 알려줘”라고 말하면 음성으로 오염도에 따른 세탁 시간 등을 브리핑해 준다.        LG전자는 22일부터 전국 백화점 및 베스트샵 99개 매장에 신제품을 순차적으로 진열하고 판매에 들어간다. 신제품 출하가는 690만원이다. LG전자는 다음 달 17일까지 구매 고객에게 20만원 상당 멤버십 포인트를 제공하는 프로모션을 진행한다. 기존 LG 시그니처 제품을 보유하고 있는 고객에게는 20만원 상당 멤버십 포인트를 추가 적립해 준다. 구매 고객에게는 3월 18일부터 제품을 배송할 예정이다.        LG전자는 LG 시그니처 세탁건조기에 이어 일반형 제품인 LG 트롬 오브제컬렉션 워시콤보도 4월 출시할 예정이다.        H&amp;A 사업본부 리빙솔루션사업부장 백승태 부사장은 “세탁과 건조를 한번에 끝내 잃어버렸던 공간과 시간을 돌려주는 혁신적인 제품”이라며 “고객의 가사 노동 해방을 위한 차별화된 기술을 선보일 것”이라고 말했다.",LG 워시타워 구매,세탁기 및 건조기,구매,중립,"세탁 후 자동으로 건조 시작, 공간 활용성, 편의기능",초기 가격이 비싸다는 우려,"LG 워시타워에 대한 정보와 기능 설명, 초기 가격에 대한 우려와 시그니처 모델 출시에 대한 의견을 담고 있음.",2024-03-03 19:08:20,2024-03-03 19:08:23
"이렇게 많이 공감해주시는 분들이 있을 줄은 몰랐네요. ㅠㅠ댓글도 많고 감사합니다. 한분 한분 대댓 못해서 죄송합니다. ^^마눌님한테 얘기해주니 클량은 감사하고 삼성은 말도 꺼내지 말라네요.*******************************엘지로 구입하던 삼성으로 구입하던 뽑기를 잘 해야 하는데 제대로 당첨이네요.진짜 삼성제품 구입하지 마세요. 특히 냉장고~!!!정말 재수없게 걸리면 대응도 정말 주옥같습니다.작년 9월 새집으로 이사하면서 삼성 키친핏 1도어 냉장, 냉동 그리고 김치냉장고 구입하고,이 냉장고 3개를 기준으로 냉장고장을 맞췄습니다.좋아하는 마눌님을 보니 저도 좋더라구요.이 영상은 녹음도 인정 안해주고, 고객이 직접 증명하라는 식으로 대응해서 캠으로 데시벨 측정한 영상입니다.냉장고 설치하고 1~2주 지나고 부터 간헐적으로 발생하는 소음입니다.한번 폭주하면밥 먹다 말고 놀래고, 티비 보다 놀래고, 청소하다 놀래고 특히 새벽에 뒤척이다 물 한잔(혹은 화장실) 하러 일어났다가소음 폭주 때문에 잠 못잔적도 여러번 입니다.집에서 통화하면 통화하는 상대편이 들릴 정도입니다.(수십번 고객센터 통화하다보니 전화받은 고객센터 담당자도 들은적이 있습니다.)오늘까지 고객센터 이메일 그리고 전화로 AS신청 수십번 했습니다.나중에는 교환해주겠다는 품질팀장하고도 여러번 통화했습니다.중간에 다녀간 프로(기사)님들도 여럿 입니다.녹음한걸 들려주고, 수리(?)도 해주시고 했지만, 친절하시게 대응해주셨지만저희 부부가 받은 느낌은냉장고는 원래 소음 있습니다. 다른것도 그래요. 저희집도 그래요. 등등의 반응 였습니다.중요한건 프로님들 오시면 냉장고가 정말 얌전해집니다.고객센터 담당자도 오시는 프로님들도 녹음은 인정 안된다. 증명은 고객이 해야 합니다. 라는 식의 대응였습니다.제일 듣기 싫었던 말은 '원래 그래요.' '다 그래요.' 엘지 사용하는데 엘지도 그래요.' ㅠㅠ한번은 토요일에 냉동고가 멈춰버려 마눌님이 울먹거리면서 고객센터에 전화 한적도 있고,(냉동실 안에 있던 제품들 다 녹았습니다.)결정적으로 이번 설 연휴 시작하는 9일에는 김치냉장고가 멈췄습니다.1월. 집으로 온 품질팀장 이라는 분은 한참 집에 계시다 소음을 듣고는교환해주겠다고 1월 안으로 꼭 연락드린다고 했으나, 연락은 커녕 메시지 조차 없이 무대응으로 대응했습니다.설 몇 일전에 전화하니 누군지도 모르고, 명절 지나서 전화하려고 했다며변명만 했다고 하더라구요. 그리고 몇일 후. 설 연휴 시작하는 날 김치냉장고가 멈췄습니다.그냥 입에서 쌍욕만 나오더라구요. 와이프는 완전 멘붕오고요.. ㅠㅠ김치냉장고 멈추기 전 날 부터 발생하는 소음입니다. (사우나실에 들어가면 들리는 소음하고 비슷해요.)이 소리도 자다 깨서 한번 신경 쓰이기 시작하면 잠을 못자네요.4개월 동안 저 냉장고 때문에 받은 스트레스, 노이로제... ㅠㅠ연휴지나서 제가 품질팀장한테 전화해서 소리지르고 난리를 쳤더니이제서야 공장 알아본다 5~6일이면 해결 된다 등등 말하더군요. ㄸ@$% ~!!마눌님한테 말했던 1월 안에 해결해주겠다던 말은 뭔지 모르겠습니다.제가 통화 할 때 분명 약 2주간 집에 사람 없으니 29일쯤으로 일정 잡고, 변경되면 전화주겠다 했고,김치냉장고에 있던거 부터 시작해서 4개월 가량 받은 스트레스 등에 피해보상,냉장고 교환해도 냉동고, 냉장고에 있던 내용물 보관해야 할 아이스박스, 얼음팩 등 어떻게 할 것인지 상의해서전화하라 했는데 또 일주일이 지나도 연락도 없고, 메시지도 없어요.골 때리는건 18일인지 19일인지 와이프한테 배송(교환)올 프로님 연락 와서 다음날 배송 갈 예정인데 확인 전화를 했다 합니다.저랑 얘기한 품질팀장님이 문제인건지 아니면 삼성전자 고객센터 메뉴얼이 이렇게 X같은 건지, 한숨만 나옵니다.오늘 품질팀장님한테 길게 장문의 메시지를 보냈는데, 역시나 단문의 메시지조차 없네요~ ^^삼성전자 ..오시는 기사님(프로님)들이 무슨 잘못이며, 전화받는 고객센터 담당자는 무슨 잘못인가요.그래도 당신들은 삼성전자 직원입니다.하나 같이들 전부 다 책임 떠넘기기만 하고, 대응은 무대응이고,AS 주옥같은 애플도 당신들처럼 대응 안합니다.일렉트로룩스 AS 대행해주는 업체도 당신들처럼 대응 안합니다~!!!!보상관련해서 대책없으면 교환 생각없다고 라고 메시지 보냈는데,솔직히 삼성전자 수원본사 정문 입구에 버려놓고 망치고 깨 부셔버리고 싶네요.이번 냉장고 일로 차 때문에 스트레스 받는 분들 맘 정말 공감 많이 됩니다.(차 운전하다보면 문제가 분명 발생하는데, 센터가면 멀쩡해지는 ㅠㅠ)정말 이 냉장고 어떻게 해야 할지 미치겠어요. ㅠㅠ**환불해준다고 했잖아요 ? (실제로 담당하는 누군가가 저희 마눌님한테 한 말 입니다.)제가 지난주에 전화로그럼 환불해주세요. 냉장고장 까지 이 냉장고 사이즈에 맞췄으니, 냉장고장 철거비, 제작비 다 주세요~라고 한적도 있네요. ㅠㅠ**4개월 동안 벌어진 일이라 최대한 간략하게 적어서 내용이 중구난방이네요.하도 답답하고 짜증나고 열받아서 여기다 하소연 해봤습니다. ㅠㅠ",이사,"냉장고, 냉동고, 김치냉장고",구매,부정,없음,"소음 발생, 고객 서비스 불만족, 제품 결함","삼성 냉장고 및 김치냉장고 구입 후 소음과 결함으로 인한 불만을 표현하며, 고객 서비스에 대한 불만을 제기함. 요구사항에 대한 불만도 표현함.",2024-03-03 19:08:20,2024-03-03 19:08:23
티비 냉장고 침대 소파 거실장 장롱작은거 하나8년전에 결혼할 당시 쓰던거 그대로입니다…책상 세탁기 등등 소소한거 상당수는 결혼전 쓰던거각자 들고왔고요.짐 늘은거라고는 책밖에 없는데 책이 좀 많아서…종이책들은 안볼거 같은거는 처분을 해야겠네유…결혼 8년간 세간살이 늘은것중에 값나가는건커피머신스타일러 정도…차도 결혼전에 타던거 그대로고..어지간한건 다 그대로입니다..,결혼,"티비, 냉장고, 침대, 소파, 거실장, 장롱, 책상, 세탁기, 커피머신, 스타일러",구매,중립,결혼 전 사용한 제품들이 오랫동안 사용 가능,결혼 후 새로운 가전제품이나 가구를 구입하지 않음,"결혼 8년간 사용한 제품들이 대부분 결혼 전 사용한 것들이며, 새로운 제품을 구입하지 않고 오랫동안 사용하고 있다. 종이책을 처분해야 할 필요성을 느낌.",2024-03-03 19:08:20,2024-03-03 19:08:24
"이번 LG전자 컨콜에서 H&amp;A(생활 가전) 부문 연매출 30조로 여전히 세계 1위지만 작년 4분기에 무려 적자를 봤다고 합니다.적자는 당연히 중저가 가전 부문에서 중국 경쟁 업체들과의 출혈로 인한 것인데요. 사실 압도적인 내수 인구 기반으로 이미 유리한데 해외에도 마진 없이 달려들면 쉽지 않죠. 그 해결책을 삼성전자 갤럭시 저가형이나 생활가전에 썼던 ODM(주문자 제조 방식 : 일명 택갈이) 방식으로 맞서려나 봅니다. 몰론 삼성전자 같이 '비스포크' 인덕션,식세기 등 프리미엄 라인에 썼던 정신나간 짓은 안하고 프리미엄은 여전히 '고가 프리미엄' 답게 초격차 전략이라는거보니 메이드 인 코리아겠지만 ODM을 줄만한 회사가중국 업체들말고는 없을텐데 의외네요. 메이디(Midea) VS 하이얼이 중국 압도적인 투탑 기업이죠.LG전자 생활가전 4분기 적자전환…중국의 역습...3년 연속 최대 매출을 기록한 LG전자가 주력인 생활가전 사업에선 4분기부터 적자전환했다. 중국 생활가전 기업 등과 펼치는 글로벌 경쟁이 심화되면서 10%를 웃돌던 영업이익률은 마이너스(-)로 전환됐다. LG전자는 중국 생활가전 기업들의 저가 공세에 대응하기 위해 투자를 확대하는 한편, 프리미엄 및 중저가로 나뉘는 투트랙 전략을 강화할 계획이다.    ...김이권 H&amp;A경영관리담당 상무는 실적발표 이후 이어진 콘퍼런스 콜에서 ""글로벌 시장에서 중국 가전업체들의 브랜드력이 강화되고 있다""고 말했다.  https://n.news.naver.com/mnews/article/293/0000051020?sid=105LG전자는 25일 2023년 4분기 실적발표 컨퍼런스콜에서 “생활가전의 경우, 시장별로 정도의 차이가 있으나 최근 시장 경쟁이 심화되는 와중에 특히 중국 업체들의 브랜드력이 일부 강화되는 모습을 보이고 있다”며 “이에 당사는 핵심 부품 경쟁력에 기반한 대용량 고효율 제품과 차별화된 디자인 성능을 바탕으로 경쟁력을 지속 강화하고 있으며, 볼륨 존에서는 제품과 가격 커버리지 보강을 통해 시장 점유율을 올리고 있다”고 말했다.",LG전자 컨콜,"생활 가전 제품 (세탁기, 안마의자 등)",모름,중립,LG전자의 생활 가전 제품이 전반적으로 좋은 성능을 보여줌,LG전자의 생활 가전 부문이 중국 경쟁 업체들과의 경쟁에서 적자를 보이고 있음,"LG전자의 생활 가전 제품은 성능과 디자인 면에서 경쟁력을 유지하고 있지만, 중국 업체들과의 경쟁에서 적자를 보이고 있어 투자와 전략의 재고가 필요함.",2024-03-03 19:08:20,2024-03-03 19:08:24
진짜 10년 수명 타이머라도 달린건지연말에 냉장고 고장으로 시작해서 광파오븐 밥솥 가스레인지에 보일러까지 연달아 고장이 나네요가격합계로는 대충 400만쯤 되고 그 정도 여윳돈은 되는데문제는 고장나서 쓰기 불편한 애들보다 TV가 더 바꾸고 싶어요유일하게 고장안나고 버티고 있는게 TV인데...멀쩡하면 뭐합니까 40인치대인데.,"냉장고, 광파오븐, 밥솥, 가스레인지, 보일러, TV","냉장고, 광파오븐, 밥솥, 가스레인지, 보일러, TV",모름,부정,TV가 고장 나지 않고 버티고 있음,"다른 가전제품들이 연달아 고장이 나고, 가격이 비싸다는 점",10년 수명 타이머가 달린 것처럼 오랫동안 사용하던 냉장고부터 시작하여 다른 가전제품들이 연달아 고장나는 상황에 가격이 비싼데도 TV를 제외하고 다른 제품들을 바꾸고 싶어하는 소비자의 불만이 담겨 있음.,2024-03-03 19:08:20,2024-03-03 19:08:25
"LG는 에어컨 세척때문에, 삼성은 티비 고장난거 떄문에공교롭게 두분이 거의 비슷한 시간에 방문하셔서두분은 별 신경 안쓰시고 본인 할일들을 하시는데, (당연한거겠지만요 ㅎㅎㅎ)저만 괜히 뻘쭘해 있습니다. ㅎㅎㅎㅎ","LG, 삼성 (에어컨, 티비)","에어컨, 티비",구매,중립,없음,없음,LG와 삼성 기기 수리를 위해 방문한 기사들이 동시에 도착하여 일 처리에 불편함을 느낌.,2024-03-03 19:08:23,2024-03-03 19:08:27
1인가구 입니다.매년 평균 1800~2000정도 나왔었는데...올해 독립하면서 가전 이것저것 샀더니 올해는 역대급으로 나왔네요,1인가구,다수의 가전제품,구매,부정,없음,지출이 많이 나와서 부담스러움,"1인가구로 독립하면서 가전제품을 많이 산 결과, 올해 지출이 많이 나와 부담스러웠다.",2024-03-03 19:08:23,2024-03-03 19:08:27
"이사 때문에 가전보러 여기저기 보고, 온라인 보고 있는데 다른 제품들은 뭐 고만고만 한데 삼성이 조금 쌉니다.그런데, 세탁건조기는 거의 100만원이나 LG가 비싸네요. 참... 알다가도 모르겠습니다. 어떻게 30%나 비쌀까.지금 프로모션을 쎄게 하는건지 아니면 삼성 가전 안팔리나?여지껏 처음본 가격차이라 오히려 못고르겠네요. 왠만하면 LG사는데, 100만원은 무시 할수가...",이사,세탁건조기,모름,부정,없음,"삼성 제품이 비싸고, LG 제품이 더 비쌈","이사 때 세탁건조기를 구매하려고 하는데, 삼성 제품이 비싸고 LG 제품도 높은 가격에 있어서 고민 중이며, 가격 차이로 인해 선택이 어려운 상황이라고 언급함.",2024-03-03 19:08:24,2024-03-03 19:08:28
"냉장고, 김치냉장고, 건조기 이렇게 주문하려고 하는데    동네 마트 갔다가 견적가가 공홈보다 비싸서    오픈마켓(옥션)에서 같은판매자가 없어서 각각 따로 주문하려고 합니다    이럴경우 운빨로 같이 오거나 각각 따로 오거나 하는지요?    이사전에 미리 넣어두려는거라 따로오면 피곤해질것 같아요;;;    어차피 LG물류센터에서 배송할꺼라 합배송이 그들도 나을텐데...    공홈과 큰 차이 없으면 공홈에 시킬텐데 50이나 차이가 나니 고민이네요    오픈마켓에서 따로 주문해보신 분 계신가요?",가전제품 구매,"냉장고, 김치냉장고, 건조기",구매,문의,없음,"공홈보다 비싸고, 운발에 따라 따로 배송될 수 있음","냉장고, 김치냉장고, 건조기를 주문할 때 공홈보다 가격이 비싸고, 오픈마켓에서 따로 주문할 경우 따로 배송될 수 있어서 고민 중이며, 합배송이 가능하다면 LG물류센터에서 배송받는 것이 편할 것이라는 의견을 나타냄.",2024-03-03 19:08:24,2024-03-03 19:08:29
몇달 전에 폐가전무상수거팀 두분이 나오셔서김냉 일반냉장고 수거하러 왔다가문으오 못 나간다고 바로 가셨는데사다리차 불러야한다면서요오늘 앞집 누나네 뭐 싣고 온 이삿짐 쎈터 직원 분 딱 보시더니이거 나가요 그래서 두개 뺐습니다물론 돈 10만원 드렸고요역시 전문가는 다르네요가욋돈생겼다고 좋아하시네요이사전문가 왈 걔들이 뭘 알유 ㅎㅎㅎ,폐가전무상수거,김냉 일반냉장고,모름,중립,무상수거 서비스 제공,서비스 제공자의 태도에 대한 불만,"폐가전무상수거팀이 냉장고를 수거하러 왔지만, 불친절한 태도로 인해 불쾌한 경험을 한 것으로 보임.",2024-03-03 19:08:27,2024-03-03 19:08:30
